country,year,primary_enrolment_gross,adult_literacy_pct,life_expectancy,under5_mortality_per1000
Benin,2000,80.111213684082,,56.594,136.1
Benin,2001,87.4075012207031,,56.654,132.8
Benin,2002,92.6105804443359,35.0,56.851,129.6
Benin,2003,96.3288879394531,,57.092,126.5
Benin,2004,100.354598999023,,57.346,123.5
Benin,2005,97.6395721435547,,57.738,120.6
Benin,2006,97.9188232421875,28.7021102905273,57.966,117.9
Benin,2007,,,58.249,115.4
Benin,2008,110.888137817383,,58.099,113.0
Benin,2009,116.08260345459,,58.258,110.6
Benin,2010,117.383979797363,,58.387,108.4
Benin,2011,119.239990234375,,58.462,106.2
Benin,2012,123.163383483887,32.9488182067871,58.559,103.9
Benin,2013,124.061050415039,,58.863,101.6
Benin,2014,124.522239685059,,59.008,99.3
Benin,2015,127.121139526367,,59.123,97.1
Benin,2016,125.554527282715,,59.283,95.0
Benin,2017,121.606216430664,38.871208190918,59.528,92.7
Benin,2018,117.116798400879,,59.71,90.5
Benin,2019,112.029891967773,,59.888,88.0
Benin,2020,109.148918151855,,60.154,85.5
Benin,2021,110.70588684082,43.834171295166,59.61,83.1
Benin,2022,113.04891204834,47.0999984741211,60.475,80.4
Benin,2023,,,60.774,77.9
